0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
71   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/node2/contexts at interval 0
81   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/node2/contexts/solr-jetty-context.xml
1801 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1906 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
1942 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
1943 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/node2/solr
1945 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/node2/solr/'
2099 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/node2/solr/solr.xml
2356 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/node2/solr
2362 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 444126246
2363 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/sachin/Desktop/Winter15/cs290N/hw1/solr-search/solr-4.10.3/node2/solr/]
2374 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
2375 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
2378 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
2379 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
2381 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
2381 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
2382 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
2382 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
2382 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
3066 [main] INFO  org.apache.solr.update.UpdateShardHandler  – Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
3068 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
3070 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
3071 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: 
3102 [main] INFO  org.apache.solr.cloud.SolrZkServer  – STARTING EMBEDDED STANDALONE ZOOKEEPER SERVER at port 9983
3603 [main] INFO  org.apache.solr.core.ZkContainer  – Zookeeper client=localhost:9983
3639 [main] INFO  org.apache.solr.common.cloud.ConnectionManager  – Waiting for client to connect to ZooKeeper
3795 [main-EventThread] INFO  org.apache.solr.common.cloud.ConnectionManager  – Watcher org.apache.solr.common.cloud.ConnectionManager@32d8b1ee name:ZooKeeperConnection Watcher:localhost:9983 got event WatchedEvent state:SyncConnected type:None path:null path:null type:None
3797 [main] INFO  org.apache.solr.common.cloud.ConnectionManager  – Client is connected to ZooKeeper
3834 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /overseer/queue
3861 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /overseer/collection-queue-work
3885 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /overseer/collection-map-running
3916 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /overseer/collection-map-completed
